Country,year,num_conflicts,avg_intensity,max_intensity,avg_duration,total_duration,conflict_type_count,has_territory_conflict,has_government_conflict,has_both_conflict,conflicts_past_3years,intensity_past_3years
Argentina,1955,1,1,1,95,95,1,0,1,0,1,1
Argentina,1963,1,1,1,173,173,1,0,1,0,1,1
Argentina,1974,1,1,1,,0,1,0,1,0,1,1
Argentina,1975,1,1,1,,0,1,0,1,0,1,1
Argentina,1976,1,1,1,,0,1,0,1,0,1,1
Argentina,1977,1,1,1,1238,1238,1,0,1,0,1,1
"Argentina, United Kingdom",1982,1,1,1,43,43,1,1,0,0,1,1
"Australia, Iraq, United Kingdom, United States of America",2003,1,2,2,36,36,1,0,1,0,1,2
Azerbaijan,1991,1,1,1,,0,1,1,0,0,1,1
Azerbaijan,1992,1,2,2,,0,1,1,0,0,1,1.5
Azerbaijan,1993,2,1.5,2,9,9,2,1,1,0,1.333333333,1.5
Azerbaijan,1994,1,2,2,928,928,1,1,0,0,1.333333333,1.833333333
Azerbaijan,1995,1,1,1,0,0,1,0,1,0,1.333333333,1.5
Azerbaijan,1997,1,1,1,,0,1,1,0,0,1,1.333333333
Azerbaijan,1998,1,1,1,620,620,1,1,0,0,1,1
Azerbaijan,2005,1,1,1,0,0,1,1,0,0,1,1
Azerbaijan,2008,1,1,1,0,0,1,1,0,0,1,1
Azerbaijan,2012,1,1,1,0,0,1,1,0,0,1,1
Azerbaijan,2014,1,1,1,,0,1,1,0,0,1,1
Azerbaijan,2015,1,1,1,,0,1,1,0,0,1,1
Azerbaijan,2016,1,1,1,,0,1,1,0,0,1,1
Azerbaijan,2017,1,1,1,1231,1231,1,1,0,0,1,1
Azerbaijan,2020,1,2,2,,0,1,1,0,0,1,1.333333333
Azerbaijan,2021,1,1,1,,0,1,1,0,0,1,1.333333333
Azerbaijan,2022,1,1,1,,0,1,1,0,0,1,1.333333333
Azerbaijan,2023,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1975,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1976,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1977,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1978,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1979,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1980,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1981,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1982,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1983,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1984,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1985,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1986,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1987,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1988,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1989,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1990,1,1,1,,0,1,1,0,0,1,1
Bangladesh,1991,1,1,1,6150,6150,1,1,0,0,1,1
Bangladesh,2005,1,1,1,,0,1,0,1,0,1,1
Bangladesh,2006,1,1,1,682,682,1,0,1,0,1,1
Bangladesh,2016,1,1,1,,0,1,1,0,0,1,1
Bangladesh,2017,1,1,1,373,373,1,1,0,0,1,1
Benin,2022,1,1,1,,0,1,0,1,0,1,1
Benin,2023,1,1,1,,0,1,0,1,0,1,1
Bolivia,1946,1,2,2,0,0,1,0,1,0,1,2
